[2026-05-31--12-14-50 INFO actix_server::builder] starting 5 workers
[2026-05-31--12-14-50 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-05-31--12-14-50 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-05-31--12-14-51 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-05-31--12-14-55 INFO txtx::svm::deploy_program] [Recovery Instructions] - An ephemeral authority account will be created and funded to write to the buffer account.
[2026-05-31--12-14-55 INFO txtx::svm::deploy_program] [Recovery Instructions] - Please save the following information in case the deployment fails and the account needs to be recovered:
[2026-05-31--12-14-55 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority public key: A6wEgxD5SWFu3qgET4uEDYz8v5WcEVf1atnJkkf8FiPw
[2026-05-31--12-14-55 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority secret key: [43, 164, 119, 65, 64, 117, 20, 49, 51, 215, 221, 161, 22, 38, 65, 58, 55, 177, 0, 156, 197, 46, 231, 68, 197, 211, 100, 235, 179, 234, 11, 250, 135, 62, 105, 70, 251, 68, 155, 178, 101, 49, 73, 224, 156, 224, 224, 192, 213, 144, 212, 19, 194, 195, 127, 87, 53, 121, 203, 214, 107, 141, 198, 150]
[2026-05-31--12-14-56 INFO txtx::svm::deploy_program] Account Created - Ephemeral authority account created and funded to write to buffer
[2026-05-31--12-14-56 INFO txtx::svm::deploy_program] [Recovery Instructions] - Creating program buffer account at pubkey G8jsGqVrjkT5YS7K2hM8CNgo2w18FLcWt2MGgB3CS7D9
[2026-05-31--12-14-56 INFO txtx::svm::deploy_program] Account Created - Program buffer account created
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/799-37adf7241e9c36ad.js HTTP/1.1" 200 15533 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002717
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/c3a130cb-ffd94e80d9b15343.js HTTP/1.1" 200 55354 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.010543
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/902-d8cf51bcbca2941e.js HTTP/1.1" 200 7800 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002043
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/927-04096b78076c3529.js HTTP/1.1" 200 100765 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.010246
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/layout-3ffd378fd204294f.js HTTP/1.1" 200 2410 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.001016
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/19-b86d0ad63e64c27b.js HTTP/1.1" 200 9836 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.003391
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/640-5f759a740f277df5.js HTTP/1.1" 200 70880 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.010612
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/549-84c398751b872630.js HTTP/1.1" 200 13356 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.004171
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/7921136a-06d98fc0899b4af0.js HTTP/1.1" 200 3806 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.001162
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/424-59a847b8273bf0a2.js HTTP/1.1" 200 15297 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002722
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/144-218b87336e97ebb0.js HTTP/1.1" 200 37551 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.006386
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/page-b0aceaf88fd55b2e.js HTTP/1.1" 200 10913 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.003659
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/293-5765eed6cb361cdb.js HTTP/1.1" 200 125695 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.012431
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/00766880-b81a0e4ed3991dd6.js HTTP/1.1" 200 324243 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.021556
[2026-05-31--12-18-17 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 165 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000215
[2026-05-31--12-18-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53490.
[2026-05-31--12-18-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53491.
[2026-05-31--12-18-17 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 165 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000228
[2026-05-31--12-18-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /scenarios.txt?_rsc=3lb4g HTTP/1.1" 200 1686 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000453
[2026-05-31--12-18-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/04c1a432-42d04618904adbe6.js HTTP/1.1" 200 2705 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002360
[2026-05-31--12-18-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/230-6d6459501752ad3f.js HTTP/1.1" 200 10402 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.004629
[2026-05-31--12-18-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/scenarios/page-c2e83e6d658964f5.js HTTP/1.1" 200 15979 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.004181
[2026-05-31--12-18-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /favicon-32x32.png HTTP/1.1" 200 1190 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000101
[2026-05-31--12-18-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53585.
[2026-05-31--12-19-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53606.
[2026-05-31--12-19-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53637.
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /favicon-32x32.png HTTP/1.1" 200 1190 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000256
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /v1/scenarios HTTP/1.1" 200 6 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000897
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/groq.svg HTTP/1.1" 200 477 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000960
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/switchboard.svg HTTP/1.1" 200 475 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002826
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/pyth.svg HTTP/1.1" 200 669 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.003805
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/jupiter.svg HTTP/1.1" 200 1315 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.001753
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/raydium.svg HTTP/1.1" 200 931 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002167
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/whirlpool.svg HTTP/1.1" 200 1486 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.005293
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/kamino.svg HTTP/1.1" 200 1002 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002599
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/meteora.svg HTTP/1.1" 200 1304 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.001399
[2026-05-31--12-19-43 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/drift.svg HTTP/1.1" 200 190328 "http://127.0.0.1:18488/scenarios" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.007096
[2026-05-31--12-19-48 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/surfpool.svg HTTP/1.1" 200 6281 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000883
[2026-05-31--12-35-38 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 165 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.008821
[2026-05-31--12-35-40 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 165 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000083
